0,1,2,3,4
-0.4711896325225098,-15617.171000000015,"(0,)","[5.06542638e+02 3.05728571e+01 4.09200000e+01 5.61800000e+01
 0.00000000e+00 5.07687330e+00 5.07687330e+00 5.60928564e-01
 3.58722215e-01 6.24669814e-01 6.21337044e+01 5.67090572e+01
 5.85111632e+01 1.68824972e+02 2.09000651e+00 8.31548524e+01
 3.37911464e+01 1.15370605e+01 1.08349581e+01]",[-1.          0.50768733  0.50768733]
0,1,2,3,4
-0.4711896325225098,-15627.171000000015,"(0,)","[ 17.14527783  30.62571429  40.83        58.02         0.
   5.0768733   13.77940893   0.61251321   0.32878107   0.81871196
  62.32507376  56.38562931  62.11241349 157.6439132    4.0486783
 169.6052363   36.09969761  13.67520448  28.9309493 ]",[-1.          0.87025356  0.87025356]
0,1,2,3,4
-0.4711896325225098,-15619.071000000014,"(0,)","[ 17.14527783  30.13857143  41.49        59.78         0.
   5.0768733   13.77940893   0.60708792   0.35422569   1.10180809
  59.46009699  58.19440284  65.10916999 119.6682604   79.14253441
 257.2697099   25.38121927  20.61706309  40.59184307]",[-0.8860806  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-15628.971000000014,"(0,)","[ 17.14527783  30.08285714  41.98        62.2          0.
   5.0768733   13.77940893   0.59147451   0.4092125    1.50409927
  59.13846308  59.48487076  68.63766026  95.09618917 119.3672556
 326.6448978   18.59223449  28.57130501  52.01130912]",[-0.83026254  1.          1.        ]
0,1,2,3,4
-0.4711896325225098,-15637.971000000014,"(0,)","[ 17.14527783  30.28285714  41.95        61.6          0.
   5.0768733   13.77940893   0.58845575   0.44523677   1.75428069
  59.9431005   59.36880089  66.90234609  93.82553402 133.5193696
 298.5727714   18.59223449  31.65368937  52.01130912]",[-1.         0.5982108  0.5982108]
0,1,2,3,4
-0.4711896325225098,-15645.671000000013,"(0,)","[ 17.14527783  30.01571429  41.47        60.87         0.
   5.0768733   13.77940893   0.55807403   0.4300964    1.87206635
  58.35527606  57.51138137  64.83911632  83.84531713  89.10960587
 239.7637607   21.45108221  27.96436504  47.13573967]",[-1.         0.9792517  0.9792517]
0,1,2,3,4
-0.4711896325225098,-15662.271000000013,"(0,)","[ 17.14527783  29.67428571  42.02        60.43         0.
   5.0768733   13.77940893   0.50067441   0.45720754   1.90791475
  56.38070251  59.03072064  63.61583995  55.19886129 116.7898174
 179.3381115   12.85122574  33.16942841  38.96783534]",[-1.          0.67965835  0.67965835]
0,1,2,3,4
-0.4711896325225098,-15668.471000000014,"(0,)","[ 17.14527783  30.09285714  42.15        61.16         0.
   5.0768733   13.77940893   0.48338782   0.48360849   1.97249212
  58.17550582  59.38583124  64.75701846  56.58400378 124.8180168
 170.4868546    3.86619287  33.16942841  41.84372044]",[-1.         0.7070972  0.7070972]
0,1,2,3,4
-0.4711896325225098,-15683.771000000015,"(0,)","[ 17.14527783  29.91857143  42.68        61.56         0.
   5.0768733   13.77940893   0.45043236   0.541061     2.0325172
  57.16237867  60.81817019  65.37265001  61.84505103 168.1776856
 153.7843439    3.86619287  39.56660599  41.84372044]",[-1.         0.9984952  0.9984952]
0,1,2,3,4
-0.4711896325225098,-15707.471000000016,"(0,)","[ 17.14527783  29.41857143  42.39        60.82         0.
   5.0768733   13.77940893   0.37959339   0.5567738    1.99735148
  54.35319377  59.62785277  63.25790495  42.44418355 145.1540251
 122.9598675    7.55348595  40.77855931  33.64052296]",[-1.          0.84284604  0.84284604]
0,1,2,3,4
-0.4711896325225098,-15722.171000000017,"(0,)","[ 17.14527783  30.72        42.96        60.65         0.
   5.0768733   13.77940893   0.42358458   0.60820949   1.93347689
  59.68755868  61.17297784  62.77530064  78.80561072 160.9398819
 101.9656405    5.15107549  43.32977306  30.11258288]",[-0.9717001  1.         1.       ]
0,1,2,3,4
-0.4711896325225098,-15741.771000000017,"(0,)","[ 17.14527783  30.24642857  42.98        60.2          0.
   5.0768733   13.77940893   0.41544567   0.64317238   1.82550133
  57.17250112  61.22684094  61.49068686  72.41083248 161.7549485
  73.32641095   6.33704842  45.71075488  12.0294038 ]",[-0.99902695  1.          1.        ]
0,1,2,3,4
