0,1,2,3,4
-0.9893999999999323,-272.3075234217131,"(0, 0)","[  9.6106     172.26        98.94       296.84         0.
  10.           0.           0.38697729   0.91109572   6.80685591
  54.60986403  61.09396003  69.20055181 -25.61667671  54.92527298
  77.29148109   2.05513933   8.99213495  43.34285712]",[ 1.          1.         -0.91181445]
-2.939399999999921,-273.1751734217131,"(1, 1)","[  9.6106     172.26        98.94       296.84         0.
  10.           0.           0.38697729   0.91109572   6.80685591
  54.60986403  61.09396003  69.20055181 -25.61667671  54.92527298
  77.29148109   2.05513933   8.99213495  43.34285712]",[ 1.          1.         -0.91181445]
0,1,2,3,4
-0.9893999999999323,-273.1751734217131,"(0, 0)","[9.98021200e+02 1.72230000e+02 9.95500000e+01 2.97800000e+02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.75116441e-01
 9.01820621e-01 6.62377116e+00 5.45695105e+01 6.25777982e+01
 6.96946700e+01 3.15401520e+01 7.21336775e+01 7.74864109e+01
 8.96613527e+00 9.34393358e+00 4.70517237e+01]",[-1. -1. -1.]
-2.939399999999921,-299.7494134217129,"(1, 1)","[9.98021200e+02 1.72230000e+02 9.95500000e+01 2.97800000e+02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.75116441e-01
 9.01820621e-01 6.62377116e+00 5.45695105e+01 6.25777982e+01
 6.96946700e+01 3.15401520e+01 7.21336775e+01 7.74864109e+01
 8.96613527e+00 9.34393358e+00 4.70517237e+01]",[-1. -1. -1.]
0,1,2,3,4
-0.9893999999999323,-299.7494134217129,"(0, 0)","[ 25.29037022 173.03       100.85       296.67         1.
   8.03143215   0.           0.42536659   0.98798035   6.31470166
  55.47709194  65.48030492  68.35925659  26.70075556 129.0246877
  71.10152142   8.96613527  28.06941737  47.0517237 ]",[ 0.8031432  0.8031432 -1.       ]
-2.939399999999921,-300.6448424465285,"(1, 1)","[ 25.29037022 173.03       100.85       296.67         1.
   8.03143215   0.           0.42536659   0.98798035   6.31470166
  55.47709194  65.48030492  68.35925659  26.70075556 129.0246877
  71.10152142   8.96613527  28.06941737  47.0517237 ]",[ 0.8031432  0.8031432 -1.       ]
0,1,2,3,4
-0.9893999999999323,-300.6448424465285,"(0, 0)","[9.11011356e+02 1.75000000e+02 1.01080000e+02 3.08840000e+02
 0.00000000e+00 9.55799103e-01 0.00000000e+00 6.17039871e-01
 1.06257295e+00 6.97141699e+00 5.76331660e+01 6.59634715e+01
 7.39255567e+01 8.21407887e+01 1.30595981e+02 1.13690496e+02
 1.75572208e+01 2.80694174e+01 6.51348963e+01]",[-0.7075633 -0.7075633 -0.7075633]
-2.939399999999921,-287.3159883723173,"(1, 1)","[9.11011356e+02 1.75000000e+02 1.01080000e+02 3.08840000e+02
 0.00000000e+00 9.55799103e-01 0.00000000e+00 6.17039871e-01
 1.06257295e+00 6.97141699e+00 5.76331660e+01 6.59634715e+01
 7.39255567e+01 8.21407887e+01 1.30595981e+02 1.13690496e+02
 1.75572208e+01 2.80694174e+01 6.51348963e+01]",[-0.7075633 -0.7075633 -0.7075633]
0,1,2,3,4
-0.9893999999999323,-287.3159883723173,"(0, 0)","[  0.38163562 174.35       100.15       310.15         0.
   9.9557991    0.           0.7083276    1.03471732   7.51099263
  56.69602881  62.31507972  74.42652887  87.02295665 118.2873911
 133.0956296   18.59455772  25.71448551  67.37590969]",[ 0.9889856  0.9889856 -1.       ]
-2.939399999999921,-288.0949609943924,"(1, 1)","[  0.38163562 174.35       100.15       310.15         0.
   9.9557991    0.           0.7083276    1.03471732   7.51099263
  56.69602881  62.31507972  74.42652887  87.02295665 118.2873911
 133.0956296   18.59455772  25.71448551  67.37590969]",[ 0.9889856  0.9889856 -1.       ]
0,1,2,3,4
-0.9893999999999323,-288.0949609943924,"(0, 0)","[400.30573957 174.33       100.52       318.43         0.
   5.95855069   0.           0.77018178   1.03061713   8.50865454
  56.66669972  63.15382938  77.28067539  75.85968851 123.5283832
 173.1204777   15.2363128   25.71448551  75.20297722]",[-0.39972484 -0.39972484 -0.39972484]
-2.939399999999921,-309.82576099439234,"(1, 1)","[400.30573957 174.33       100.52       318.43         0.
   5.95855069   0.           0.77018178   1.03061713   8.50865454
  56.66669972  63.15382938  77.28067539  75.85968851 123.5283832
 173.1204777   15.2363128   25.71448551  75.20297722]",[-0.39972484 -0.39972484 -0.39972484]
0,1,2,3,4
-0.9893999999999323,-309.82576099439234,"(0, 0)","[126.13865157 174.29       101.22       320.26         5.
   0.           0.           0.80667515   1.07150026   9.33931667
  56.60611509  64.69184027  77.84598077  61.77250476 156.5345502
 186.9921466   12.55011639  33.11596593  76.68308998]",[ 1.         -0.91933537 -0.9195319 ]
