0,1,2,3,4,5
1,-9.225622259418742,11289.645049604598,"(0, 0)","[ 9.43760882e+03  5.67574997e+01  5.25900002e+01  1.50609998e+03
  1.38240005e+02  1.63020000e+01  9.89876842e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.48769227e+00
 -7.90678248e+00 -6.73982963e+00 -9.41681618e+00 -9.00428533e+00
  3.69555152e+01  4.65006458e+01  4.76662897e+01  4.11706367e+01
  4.26802431e+01 -1.64693314e+02 -7.15494272e+01 -3.75223296e+01
 -1.05968254e+02 -8.70811583e+01  5.17411383e+01  3.00167133e+01
  2.31572643e+01  2.66044041e+01  2.66044041e+01]",[ 0.9898768 -1.        -1.        -1.        -1.       ]
1,-27.637545193496408,10975.681633815882,"(0, 0)","[ 9.43760882e+03  5.67574997e+01  5.25900002e+01  1.50609998e+03
  1.38240005e+02  1.63020000e+01  9.89876842e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.48769227e+00
 -7.90678248e+00 -6.73982963e+00 -9.41681618e+00 -9.00428533e+00
  3.69555152e+01  4.65006458e+01  4.76662897e+01  4.11706367e+01
  4.26802431e+01 -1.64693314e+02 -7.15494272e+01 -3.75223296e+01
 -1.05968254e+02 -8.70811583e+01  5.17411383e+01  3.00167133e+01
  2.31572643e+01  2.66044041e+01  2.66044041e+01]",[ 0.9898768 -1.        -1.        -1.        -1.       ]
0,1,2,3,4,5
1,-9.225622259418742,10975.681633815882,"(0, 0)","[ 9.18976762e+03  5.75224991e+01  5.35499992e+01  1.49480005e+03
  1.39100006e+02  1.63160000e+01  1.42610750e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.92583728e+00
 -4.54473059e+00 -4.59845951e+00 -4.84563576e+00 -4.91811952e+00
  4.68052576e+01  4.62795940e+01  4.45365806e+01  4.88296406e+01
  4.42989929e+01 -4.37614580e+01 -5.31572771e+01 -6.11812979e+01
 -2.06063922e+01 -5.97083398e+01  2.45108710e+01  2.65233557e+01
  2.66019335e+01  1.65631642e+01  2.65233557e+01]",[ 0.43623066 -1.         -1.         -1.         -1.        ]
1,-27.637545193496408,11254.574769712606,"(0, 0)","[ 9.18976762e+03  5.75224991e+01  5.35499992e+01  1.49480005e+03
  1.39100006e+02  1.63160000e+01  1.42610750e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.92583728e+00
 -4.54473059e+00 -4.59845951e+00 -4.84563576e+00 -4.91811952e+00
  4.68052576e+01  4.62795940e+01  4.45365806e+01  4.88296406e+01
  4.42989929e+01 -4.37614580e+01 -5.31572771e+01 -6.11812979e+01
 -2.06063922e+01 -5.97083398e+01  2.45108710e+01  2.65233557e+01
  2.66019335e+01  1.65631642e+01  2.65233557e+01]",[ 0.43623066 -1.         -1.         -1.         -1.        ]
0,1,2,3,4,5
1,-9.225622259418742,11254.574769712606,"(0, 0)","[ 8.65844594e+03  5.90525017e+01  5.47000008e+01  1.48269995e+03
  1.39679993e+02  1.65259991e+01  2.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.30017468e+00
 -4.08157178e+00 -4.48251879e+00 -3.48698705e+00 -3.51452289e+00
  4.60570405e+01  4.32494694e+01  4.32367816e+01  4.87351426e+01
  4.56238132e+01 -5.59255915e+01 -9.28074226e+01 -1.19680552e+02
 -9.84117002e+00 -4.76654115e+01  2.66019335e+01  2.99508007e+01
  3.29558210e+01  1.39334457e+01  2.26256932e+01]",[ 0.9227535 -1.        -1.        -1.        -1.       ]
1,-27.637545193496408,11221.17486718441,"(0, 0)","[ 8.65844594e+03  5.90525017e+01  5.47000008e+01  1.48269995e+03
  1.39679993e+02  1.65259991e+01  2.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.30017468e+00
 -4.08157178e+00 -4.48251879e+00 -3.48698705e+00 -3.51452289e+00
  4.60570405e+01  4.32494694e+01  4.32367816e+01  4.87351426e+01
  4.56238132e+01 -5.59255915e+01 -9.28074226e+01 -1.19680552e+02
 -9.84117002e+00 -4.76654115e+01  2.66019335e+01  2.99508007e+01
  3.29558210e+01  1.39334457e+01  2.26256932e+01]",[ 0.9227535 -1.        -1.        -1.        -1.       ]
0,1,2,3,4,5
1,-9.225622259418742,11221.17486718441,"(0, 0)","[ 8.06733040e+03  5.89674988e+01  5.35900002e+01  1.49169995e+03
  1.39550003e+02  1.71306667e+01  3.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.30921484e+00
 -5.38282013e+00 -5.81899014e+00 -4.20170655e+00 -4.76919398e+00
  4.54981631e+01  4.14283047e+01  4.13623383e+01  4.51680624e+01
  4.22978079e+01 -7.04005259e+01 -1.58686216e+02 -1.57362593e+02
 -8.20477821e+01 -1.37260165e+02  2.48937523e+01  3.65846898e+01
  3.84288071e+01  2.87138543e+01  3.27428956e+01]",[ 1.        -0.4537897 -0.4537897 -0.4537897 -0.4537897]
1,-27.637545193496408,11212.824254490057,"(0, 0)","[ 8.06733040e+03  5.89674988e+01  5.35900002e+01  1.49169995e+03
  1.39550003e+02  1.71306667e+01  3.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.30921484e+00
 -5.38282013e+00 -5.81899014e+00 -4.20170655e+00 -4.76919398e+00
  4.54981631e+01  4.14283047e+01  4.13623383e+01  4.51680624e+01
  4.22978079e+01 -7.04005259e+01 -1.58686216e+02 -1.57362593e+02
 -8.20477821e+01 -1.37260165e+02  2.48937523e+01  3.65846898e+01
  3.84288071e+01  2.87138543e+01  3.27428956e+01]",[ 1.        -0.4537897 -0.4537897 -0.4537897 -0.4537897]
0,1,2,3,4,5
1,-9.225622259418742,11212.824254490057,"(0, 0)","[ 7.47706573e+03  5.88300018e+01  5.28100014e+01  1.47759998e+03
  1.41570007e+02  1.71926670e+01  4.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.68870846e+00
 -4.70886872e+00 -4.38587366e+00 -6.15155035e+00 -5.44361668e+00
  3.90786172e+01  4.67238118e+01  4.54290152e+01  4.51052948e+01
  4.61520059e+01 -1.76233421e+02 -2.85462079e+01 -3.86819491e+01
 -1.33032937e+02 -4.67206965e+01  4.27546654e+01  4.09082907e+01
  4.17537292e+01  5.00673834e+01  4.43912535e+01]",[ 1.         -0.66940606 -0.66940606 -0.66940606 -0.66940606]
1,-27.637545193496408,10950.63106985743,"(0, 0)","[ 7.47706573e+03  5.88300018e+01  5.28100014e+01  1.47759998e+03
  1.41570007e+02  1.71926670e+01  4.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.68870846e+00
 -4.70886872e+00 -4.38587366e+00 -6.15155035e+00 -5.44361668e+00
  3.90786172e+01  4.67238118e+01  4.54290152e+01  4.51052948e+01
  4.61520059e+01 -1.76233421e+02 -2.85462079e+01 -3.86819491e+01
 -1.33032937e+02 -4.67206965e+01  4.27546654e+01  4.09082907e+01
  4.17537292e+01  5.00673834e+01  4.43912535e+01]",[ 1.         -0.66940606 -0.66940606 -0.66940606 -0.66940606]
0,1,2,3,4,5
1,-9.225622259418742,10950.63106985743,"(0, 0)","[ 6.88817741e+03  5.85924988e+01  5.33600006e+01  1.48800000e+03
  1.40410004e+02  1.73166676e+01  5.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.66482847e+00
 -4.65216988e+00 -5.64017966e+00 -3.39876850e+00 -3.63500559e+00
  4.74834046e+01  4.07436595e+01  3.98820698e+01  4.60228623e+01
  4.40343205e+01 -6.66352272e+00 -1.62392066e+02 -2.02752980e+02
 -1.21814872e+01 -8.49593013e+01  3.80284650e+01  4.96283682e+01
  5.59745013e+01  3.38667086e+01  4.16599205e+01]",[ 1.         -0.67761135 -0.67761135 -0.67761135 -0.67761135]
1,-27.637545193496408,10838.739994850905,"(0, 0)","[ 6.88817741e+03  5.85924988e+01  5.33600006e+01  1.48800000e+03
  1.40410004e+02  1.73166676e+01  5.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.66482847e+00
 -4.65216988e+00 -5.64017966e+00 -3.39876850e+00 -3.63500559e+00
  4.74834046e+01  4.07436595e+01  3.98820698e+01  4.60228623e+01
  4.40343205e+01 -6.66352272e+00 -1.62392066e+02 -2.02752980e+02
 -1.21814872e+01 -8.49593013e+01  3.80284650e+01  4.96283682e+01
  5.59745013e+01  3.38667086e+01  4.16599205e+01]",[ 1.         -0.67761135 -0.67761135 -0.67761135 -0.67761135]
0,1,2,3,4,5
1,-9.225622259418742,10838.739994850905,"(0, 0)","[ 6.30166650e+03  5.88199997e+01  5.39300003e+01  1.49230005e+03
  1.39690002e+02  1.74646664e+01  6.34886103e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.34086952e+00
 -6.09302095e+00 -5.54899549e+00 -5.27763971e+00 -5.60829765e+00
  4.48678999e+01  4.13601225e+01  4.54068982e+01  4.39995237e+01
  4.23896210e+01 -1.04913421e+02 -1.33188869e+02 -8.25460847e+01
 -1.12958861e+02 -1.13556119e+02  4.32211244e+01  4.04427235e+01
  3.49013913e+01  4.33965747e+01  3.68211842e+01]",[ 1.        -0.7376396 -0.7376396 -0.7376396 -0.7376396]
