0,1,2,3,4,5
1,-0.9968648898982337,-6560.0,"(0, 0)","[ 1.00000000e+03  1.05350000e+02  6.75900000e+01  1.40500000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.66692193e+00
 -6.88508073e-01 -4.94140961e-01  4.04592826e+01  3.93113171e+01
  4.65144874e+01 -1.27576136e+02 -1.81544020e+02 -1.68034546e+02
  4.67113209e+01  3.61663314e+01  1.75939037e+01]",[-1. -1. -1.]
1,-9.568403471746365,-6570.0,"(1, 1)","[ 1.00000000e+03  1.05350000e+02  6.75900000e+01  1.40500000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.66692193e+00
 -6.88508073e-01 -4.94140961e-01  4.04592826e+01  3.93113171e+01
  4.65144874e+01 -1.27576136e+02 -1.81544020e+02 -1.68034546e+02
  4.67113209e+01  3.61663314e+01  1.75939037e+01]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6570.0,"(0, 0)","[ 1.00000000e+03  1.02710000e+02  6.65500000e+01  1.41070000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.89984117e+00
 -8.71301382e-01 -7.04868454e-01  3.80337316e+01  3.73498668e+01
  4.71301290e+01 -1.25127674e+02 -2.16955366e+02 -1.42399976e+02
  4.31199689e+01  4.25221058e+01  1.75939037e+01]",[-1. -1. -1.]
1,-9.568403471746365,-6580.0,"(1, 1)","[ 1.00000000e+03  1.02710000e+02  6.65500000e+01  1.41070000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.89984117e+00
 -8.71301382e-01 -7.04868454e-01  3.80337316e+01  3.73498668e+01
  4.71301290e+01 -1.25127674e+02 -2.16955366e+02 -1.42399976e+02
  4.31199689e+01  4.25221058e+01  1.75939037e+01]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6580.0,"(0, 0)","[1000.          100.7          64.42        138.83          0.
    0.            0.           -3.20962301   -1.17450068   -1.04062511
   36.31882897   33.77898244   45.02331746 -150.0168562  -286.6767204
 -191.4420683    50.01288227   49.50837153   25.79986617]",[-0.70137155 -0.70137155 -0.70137155]
1,-9.568403471746365,-6590.0,"(1, 1)","[1000.          100.7          64.42        138.83          0.
    0.            0.           -3.20962301   -1.17450068   -1.04062511
   36.31882897   33.77898244   45.02331746 -150.0168562  -286.6767204
 -191.4420683    50.01288227   49.50837153   25.79986617]",[-0.70137155 -0.70137155 -0.70137155]
0,1,2,3,4,5
1,-0.9968648898982337,-6590.0,"(0, 0)","[1000.           96.45         63.84        133.01          0.
    0.            0.           -3.75478402   -1.44493318   -1.75609685
   33.05844275   32.89312563   40.19399247 -178.4033687  -281.5023707
 -268.5394442    57.47373776   54.30762289   38.24085843]",[-0.99601173 -0.99601173 -0.99601173]
1,-9.568403471746365,-6600.0,"(1, 1)","[1000.           96.45         63.84        133.01          0.
    0.            0.           -3.75478402   -1.44493318   -1.75609685
   33.05844275   32.89312563   40.19399247 -178.4033687  -281.5023707
 -268.5394442    57.47373776   54.30762289   38.24085843]",[-0.99601173 -0.99601173 -0.99601173]
0,1,2,3,4,5
1,-0.9968648898982337,-6600.0,"(0, 0)","[1000.           96.96         63.63        129.99          0.
    0.            0.           -4.09843114   -1.65709615   -2.53755081
   33.79621872   32.5731687    38.00570227 -164.6218886  -227.652726
 -276.1552809    57.47373776   52.20857644   43.97024867]",[-1. -1. -1.]
1,-9.568403471746365,-6610.0,"(1, 1)","[1000.           96.96         63.63        129.99          0.
    0.            0.           -4.09843114   -1.65709615   -2.53755081
   33.79621872   32.5731687    38.00570227 -164.6218886  -227.652726
 -276.1552809    57.47373776   52.20857644   43.97024867]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6610.0,"(0, 0)","[1000.           98.53         64.05        130.21          0.
    0.            0.           -4.19572241   -1.77093214   -3.10333325
   36.04104527   33.90337476   38.25901459 -144.1918268  -197.9939362
 -257.1108377    57.47373776   54.20340892   45.71823562]",[-1. -1. -1.]
1,-9.568403471746365,-6620.0,"(1, 1)","[1000.           98.53         64.05        130.21          0.
    0.            0.           -4.19572241   -1.77093214   -3.10333325
   36.04104527   33.90337476   38.25901459 -144.1918268  -197.9939362
 -257.1108377    57.47373776   54.20340892   45.71823562]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6620.0,"(0, 0)","[1000.           99.96         64.4         131.92          0.
    0.            0.           -4.11005919   -1.81201809   -3.37483422
   38.02121623   35.00868329   40.2229874  -117.2338868  -157.7770214
 -199.2954658    44.95172425   44.72337128   39.53153981]",[-0.8876951 -0.8876951 -0.8876951]
1,-9.568403471746365,-6630.0,"(1, 1)","[1000.           99.96         64.4         131.92          0.
    0.            0.           -4.11005919   -1.81201809   -3.37483422
   38.02121623   35.00868329   40.2229874  -117.2338868  -157.7770214
 -199.2954658    44.95172425   44.72337128   39.53153981]",[-0.8876951 -0.8876951 -0.8876951]
0,1,2,3,4,5
1,-0.9968648898982337,-6630.0,"(0, 0)","[1000.           97.39         62.85        128.12          0.
    0.            0.           -4.20112009   -1.94720488   -3.8522229
   35.95182496   32.51748609   37.48206838 -124.6724387  -172.4803208
 -194.0989959    49.04369544   51.1034947    43.66188907]",[-0.33602726 -0.33602726 -0.33602726]
1,-9.568403471746365,-6640.0,"(1, 1)","[1000.           97.39         62.85        128.12          0.
    0.            0.           -4.20112009   -1.94720488   -3.8522229
   35.95182496   32.51748609   37.48206838 -124.6724387  -172.4803208
 -194.0989959    49.04369544   51.1034947    43.66188907]",[-0.33602726 -0.33602726 -0.33602726]
0,1,2,3,4,5
1,-0.9968648898982337,-6640.0,"(0, 0)","[1000.           99.52         63.29        129.2           0.
    0.            0.           -4.05467356   -1.99583037   -4.09619155
   38.80734769   33.89877982   38.71000204 -118.3261451  -152.4296109
 -184.8774996    52.83997874   51.1034947    47.58239645]",[-0.72556394 -0.72556394 -0.72556394]
